period,year_label,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus
Jan–Dec 2024,2024,Motor cycling,1.095,1.541,0.663,1.795,1.629,1.413,1.158,1.12,1.041,0.36
Jan–Dec 2024,2024,Motor sport,0.291,0.472,0.12,0.301,0.53,0.432,0.385,0.275,0.187,0.05
Jan–Dec 2024,2024,Mountain biking,0.592,0.887,0.306,0.902,0.605,0.576,0.746,0.918,0.657,0.132
Jan–Dec 2024,2024,Mountain climbing,0.119,0.152,0.088,0.186,0.16,0.142,0.134,0.169,0.06,0.054
Jan–Dec 2024,2024,Muay Thai,0.105,0.128,0.08,0.0,0.366,0.236,0.111,0.016,0.0,0.009
Jan–Dec 2024,2024,Netball,2.1,0.575,3.582,7.824,5.673,3.402,1.889,1.179,0.164,0.024
Jan–Dec 2024,2024,Obstacle,0.029,0.034,0.025,0.0,0.056,0.05,0.073,0.0,0.0,0.008
Jan–Dec 2024,2024,Orienteering,0.05,0.045,0.046,0.0,0.021,0.023,0.012,0.091,0.061,0.091
Jan–Dec 2024,2024,Outrigger canoe,0.026,0.04,0.014,0.0,0.0,0.013,0.051,0.032,0.078,0.0
Jan–Dec 2024,2024,Oztag,0.301,0.322,0.284,0.871,0.823,0.587,0.289,0.093,0.017,0.008
Jan–Dec 2024,2024,Paddle sports,0.194,0.169,0.221,0.0,0.152,0.171,0.278,0.223,0.242,0.155
Jan–Dec 2024,2024,Paintball,0.051,0.087,0.017,0.0,0.061,0.129,0.026,0.084,0.032,0.0
Jan–Dec 2024,2024,Parkour,0.028,0.039,0.019,0.321,0.022,0.052,0.015,0.0,0.0,0.0
Jan–Dec 2024,2024,Petanque,0.009,0.016,0.003,0.0,0.0,0.013,0.0,0.0,0.013,0.023
Jan–Dec 2024,2024,Physical Culture,0.032,0.008,0.057,0.0,0.084,0.025,0.0,0.032,0.014,0.058
Jan–Dec 2024,2024,Pickleball,0.698,0.783,0.619,1.094,0.566,0.775,0.68,0.608,0.973,0.516
Jan–Dec 2024,2024,Pilates,5.788,1.157,10.337,3.102,6.777,9.103,6.598,5.473,5.262,2.916
Jan–Dec 2024,2024,Polo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Polocrosse,0.005,0.009,0.0,0.0,0.02,0.0,0.0,0.016,0.0,0.0
Jan–Dec 2024,2024,Pony Club,0.048,0.044,0.053,0.0,0.044,0.022,0.074,0.076,0.051,0.041
Jan–Dec 2024,2024,Powerlifting,0.062,0.052,0.068,0.0,0.106,0.113,0.114,0.074,0.0,0.0
Jan–Dec 2024,2024,Ready Steady Go Kids,0.004,0.009,0.0,0.0,0.0,0.009,0.015,0.0,0.0,0.0
Jan–Dec 2024,2024,Rock climbing/Abseiling/Caving,0.435,0.49,0.375,1.642,0.822,0.657,0.526,0.259,0.092,0.068
Jan–Dec 2024,2024,Rodeo,0.003,0.0,0.005,0.0,0.0,0.0,0.016,0.0,0.0,0.0
Jan–Dec 2024,2024,Rogaining,0.009,0.009,0.009,0.0,0.0,0.012,0.017,0.016,0.01,0.0
Jan–Dec 2024,2024,Roller Derby,0.026,0.006,0.042,0.211,0.0,0.024,0.075,0.0,0.0,0.0
Jan–Dec 2024,2024,Rope skipping,0.293,0.27,0.314,1.211,0.559,0.31,0.371,0.225,0.146,0.027
Jan–Dec 2024,2024,Rowing,0.611,0.718,0.51,0.727,0.396,0.476,0.806,0.848,0.837,0.336
Jan–Dec 2024,2024,Rugby league,0.747,1.058,0.436,2.118,2.112,1.454,0.629,0.231,0.124,0.017
Jan–Dec 2024,2024,Rugby union,0.332,0.543,0.122,0.772,0.987,0.601,0.294,0.128,0.069,0.018
Jan–Dec 2024,2024,Running/jogging,15.988,18.222,13.842,26.77,26.492,27.164,20.604,14.1,7.576,1.811
Jan–Dec 2024,2024,Sailing,0.338,0.464,0.217,0.413,0.195,0.24,0.197,0.385,0.598,0.389
Jan–Dec 2024,2024,Scootering,0.175,0.137,0.21,0.322,0.109,0.205,0.372,0.197,0.128,0.009
Jan–Dec 2024,2024,Scouts,0.037,0.072,0.004,0.48,0.038,0.012,0.011,0.012,0.0,0.029
Jan–Dec 2024,2024,Sepak takraw,0.002,0.0,0.005,0.0,0.021,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Shooting,0.173,0.296,0.051,0.459,0.213,0.178,0.137,0.188,0.154,0.116
Jan–Dec 2024,2024,Shooting sports,0.122,0.205,0.043,0.163,0.211,0.147,0.106,0.115,0.048,0.114
Jan–Dec 2024,2024,Skate,0.473,0.413,0.492,1.081,0.996,0.769,0.615,0.369,0.124,0.008
Jan–Dec 2024,2024,Skeleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Ski & snowboard,0.83,0.902,0.768,1.302,0.848,0.936,0.775,0.964,1.045,0.437
Jan–Dec 2024,2024,Skirmish,0.003,0.007,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
Jan–Dec 2024,2024,Softball,0.131,0.08,0.181,0.184,0.235,0.143,0.193,0.2,0.06,0.0
Jan–Dec 2024,2024,Sport climbing,0.43,0.491,0.359,0.882,1.06,0.948,0.395,0.17,0.069,0.015
Jan–Dec 2024,2024,Squash,0.461,0.7,0.236,0.591,0.442,0.827,0.477,0.548,0.312,0.153
Jan–Dec 2024,2024,Surfing,1.382,1.647,1.121,1.614,1.299,1.675,1.689,1.916,1.463,0.437
Jan–Dec 2024,2024,Swimming,15.191,14.144,16.182,18.472,14.217,16.794,17.921,16.436,16.019,9.951
Jan–Dec 2024,2024,Sword fighting,0.015,0.022,0.004,0.0,0.056,0.015,0.034,0.0,0.0,0.0
Jan–Dec 2024,2024,Synchronised swimming,0.071,0.074,0.069,0.0,0.114,0.179,0.087,0.054,0.011,0.011
Jan–Dec 2024,2024,Table tennis,1.639,2.311,0.997,4.086,3.752,1.881,1.572,1.037,0.823,0.842
Jan–Dec 2024,2024,Taekwondo,0.143,0.162,0.112,0.959,0.331,0.062,0.183,0.115,0.031,0.0
Jan–Dec 2024,2024,Tee ball,0.03,0.047,0.013,0.0,0.089,0.09,0.013,0.01,0.0,0.0
Jan–Dec 2024,2024,Tennis,5.081,5.964,4.255,7.323,6.991,6.602,5.51,5.104,3.611,2.913
Jan–Dec 2024,2024,Tenpin bowling,0.634,0.718,0.562,0.613,0.778,0.694,0.755,0.662,0.566,0.44
Jan–Dec 2024,2024,Tobogganing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan–Dec 2024,2024,Touch football,0.768,0.968,0.584,1.835,1.836,1.515,0.608,0.513,0.2,0.034
Jan–Dec 2024,2024,Triathlon,0.113,0.152,0.078,0.389,0.155,0.15,0.13,0.121,0.064,0.014
Jan–Dec 2024,2024,Underwater sports,0.808,0.845,0.778,0.447,0.37,1.15,0.92,1.044,1.056,0.393
Jan–Dec 2024,2024,Virtual based physical activity,1.03,1.106,0.949,3.269,2.172,1.495,1.185,0.668,0.351,0.147
Jan–Dec 2024,2024,Volleyball (indoor and outdoor),1.426,1.559,1.303,10.673,3.997,1.687,0.653,0.487,0.173,0.033
Jan–Dec 2024,2024,Walking (Recreational),49.926,42.462,57.283,27.769,31.975,41.697,47.312,58.519,65.888,56.41
Jan–Dec 2024,2024,Water polo,0.079,0.07,0.088,0.203,0.201,0.056,0.093,0.028,0.089,0.026
Jan–Dec 2024,2024,Waterskiing/Wakeboarding,0.197,0.219,0.179,0.0,0.375,0.312,0.171,0.265,0.122,0.072
Jan–Dec 2024,2024,Weight lifting,1.448,1.707,1.203,1.589,2.067,2.219,1.552,1.247,1.303,0.593
Jan–Dec 2024,2024,Wheelchair rugby,0.012,0.011,0.013,0.0,0.022,0.026,0.016,0.0,0.014,0.0
Jan–Dec 2024,2024,Wood chopping,0.04,0.075,0.006,0.0,0.02,0.0,0.034,0.017,0.07,0.094
Jan–Dec 2024,2024,Wrestling,0.035,0.067,0.004,0.149,0.062,0.054,0.016,0.046,0.016,0.0
Jan–Dec 2024,2024,Yoga,4.98,1.59,8.292,2.855,3.442,6.696,6.123,6.13,5.312,2.782
Jul 2024–Jun 2025,2024/25,Adventure racing,0.189,0.287,0.07,0.38,0.724,0.28,0.153,0.101,0.011,0.0
Jul 2024–Jun 2025,2024/25,Air sports,0.321,0.417,0.215,0.739,0.652,0.53,0.388,0.1,0.171,0.081
Jul 2024–Jun 2025,2024/25,Archery,0.22,0.289,0.138,0.704,0.26,0.337,0.29,0.155,0.122,0.049
Jul 2024–Jun 2025,2024/25,"Athletics, track and field",1.309,1.768,0.862,4.909,3.431,1.824,1.206,0.668,0.438,0.107
Jul 2024–Jun 2025,2024/25,Australian football,2.627,4.041,1.258,6.285,6.554,4.738,2.74,1.445,0.633,0.046
Jul 2024–Jun 2025,2024/25,Badminton,1.744,2.067,1.451,7.387,4.023,2.881,1.719,0.568,0.271,0.204
Jul 2024–Jun 2025,2024/25,Baseball,0.35,0.497,0.194,1.562,0.585,0.493,0.429,0.262,0.064,0.031
Jul 2024–Jun 2025,2024/25,Basketball,4.633,6.819,2.537,16.023,11.326,6.86,5.13,2.9,0.656,0.246
Jul 2024–Jun 2025,2024/25,Baton twirling,0.026,0.032,0.02,0.147,0.021,0.058,0.0,0.032,0.0,0.007
Jul 2024–Jun 2025,2024/25,Biathlon,0.009,0.013,0.006,0.0,0.0,0.013,0.031,0.0,0.0,0.007
Jul 2024–Jun 2025,2024/25,Billiards/Snooker/Pool,0.308,0.456,0.169,0.0,0.455,0.471,0.287,0.218,0.328,0.226
Jul 2024–Jun 2025,2024/25,BMX,0.029,0.03,0.029,0.0,0.064,0.038,0.028,0.0,0.0,0.05
Jul 2024–Jun 2025,2024/25,Bobsledding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Bocce/Boules,0.011,0.012,0.01,0.0,0.0,0.0,0.0,0.016,0.013,0.032
Jul 2024–Jun 2025,2024/25,Boccia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Body building,0.032,0.057,0.009,0.0,0.043,0.093,0.029,0.015,0.0,0.016
Jul 2024–Jun 2025,2024/25,Boomerang throwing,0.018,0.038,0.0,0.212,0.02,0.012,0.012,0.017,0.0,0.0
Jul 2024–Jun 2025,2024/25,Bowls,0.934,1.221,0.667,0.141,0.141,0.354,0.296,0.349,1.136,2.819
Jul 2024–Jun 2025,2024/25,Boxing,0.902,0.999,0.795,1.354,1.843,1.77,0.942,0.745,0.27,0.062
Jul 2024–Jun 2025,2024/25,Broomball,0.005,0.01,0.0,0.0,0.0,0.015,0.014,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Bush walking,17.193,15.907,18.484,14.784,16.766,19.878,20.087,20.475,18.503,10.073
Jul 2024–Jun 2025,2024/25,Calisthenics,0.258,0.393,0.131,0.361,0.496,0.459,0.248,0.237,0.157,0.03
Jul 2024–Jun 2025,2024/25,Campdrafting,0.021,0.017,0.026,0.0,0.0,0.06,0.03,0.015,0.0,0.015
Jul 2024–Jun 2025,2024/25,Canoeing/Kayaking,1.0,0.971,1.04,1.264,0.487,0.845,1.027,1.661,1.484,0.535
Jul 2024–Jun 2025,2024/25,Circus,0.041,0.021,0.062,0.208,0.021,0.086,0.085,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Cricket,2.431,4.224,0.717,6.671,4.509,3.783,2.988,1.967,0.795,0.237
Jul 2024–Jun 2025,2024/25,Croquet,0.068,0.072,0.065,0.183,0.0,0.012,0.028,0.0,0.109,0.181
Jul 2024–Jun 2025,2024/25,Crossfit,0.634,0.493,0.779,0.162,0.407,1.081,1.165,0.704,0.483,0.087
Jul 2024–Jun 2025,2024/25,Curling,0.005,0.009,0.0,0.0,0.022,0.0,0.013,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Cycling,8.452,10.449,6.517,5.922,5.716,7.319,9.782,11.835,11.998,5.574
Jul 2024–Jun 2025,2024/25,DanceSport,1.102,0.261,1.905,4.064,2.467,1.336,1.197,0.562,0.489,0.269
Jul 2024–Jun 2025,2024/25,Dancing (recreational),1.661,0.488,2.756,2.973,2.396,1.665,1.841,1.162,1.31,1.433
Jul 2024–Jun 2025,2024/25,Darts,0.161,0.229,0.093,0.156,0.201,0.148,0.246,0.079,0.207,0.111
Jul 2024–Jun 2025,2024/25,Diving,0.051,0.065,0.037,0.0,0.131,0.077,0.04,0.057,0.037,0.009
Jul 2024–Jun 2025,2024/25,Dodgeball,0.069,0.061,0.078,0.571,0.068,0.1,0.094,0.0,0.015,0.0
Jul 2024–Jun 2025,2024/25,Dragon boat racing,0.069,0.057,0.08,0.0,0.0,0.071,0.041,0.076,0.157,0.075
Jul 2024–Jun 2025,2024/25,Eight ball,0.028,0.034,0.023,0.0,0.045,0.064,0.0,0.016,0.027,0.027
Jul 2024–Jun 2025,2024/25,Equestrian,0.475,0.142,0.793,0.361,0.67,0.679,0.588,0.449,0.528,0.113
Jul 2024–Jun 2025,2024/25,eSports,0.259,0.383,0.128,0.539,0.633,0.44,0.361,0.089,0.06,0.015
Jul 2024–Jun 2025,2024/25,Fencing,0.062,0.076,0.048,0.365,0.136,0.048,0.044,0.05,0.017,0.022
Jul 2024–Jun 2025,2024/25,Fishing (recreational),1.264,1.968,0.583,1.095,0.754,1.094,1.09,1.779,1.776,1.149
Jul 2024–Jun 2025,2024/25,Fitness/Gym,31.364,30.021,32.758,31.49,38.927,39.209,33.348,30.225,26.723,22.901
Jul 2024–Jun 2025,2024/25,Floorball,0.009,0.014,0.005,0.0,0.023,0.026,0.013,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Flying disc,0.247,0.313,0.182,0.489,0.538,0.405,0.278,0.152,0.127,0.03
Jul 2024–Jun 2025,2024/25,Football/soccer,5.502,8.717,2.415,18.131,12.263,8.616,6.522,3.463,1.111,0.117
Jul 2024–Jun 2025,2024/25,Gaelic football,0.048,0.079,0.019,0.0,0.065,0.185,0.0,0.053,0.0,0.0
Jul 2024–Jun 2025,2024/25,Geocaching,0.023,0.024,0.022,0.0,0.048,0.0,0.04,0.015,0.063,0.0
Jul 2024–Jun 2025,2024/25,Goalball,0.017,0.031,0.003,0.169,0.015,0.028,0.017,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Golf,4.75,7.768,1.837,2.158,3.011,3.794,3.141,4.95,7.147,6.625
Jul 2024–Jun 2025,2024/25,Gridiron,0.052,0.081,0.025,0.0,0.194,0.095,0.044,0.027,0.015,0.0
Jul 2024–Jun 2025,2024/25,Guides,0.007,0.005,0.008,0.0,0.024,0.009,0.0,0.017,0.0,0.0
Jul 2024–Jun 2025,2024/25,Gymnastics,0.556,0.403,0.697,2.222,1.174,0.735,0.726,0.239,0.12,0.099
Jul 2024–Jun 2025,2024/25,Handball,0.142,0.179,0.107,1.079,0.345,0.16,0.092,0.063,0.0,0.009
Jul 2024–Jun 2025,2024/25,Harness racing,0.012,0.02,0.005,0.0,0.023,0.0,0.029,0.033,0.0,0.0
Jul 2024–Jun 2025,2024/25,Hockey,0.482,0.505,0.46,1.129,0.99,0.512,0.614,0.432,0.382,0.046
Jul 2024–Jun 2025,2024/25,Horse racing,0.037,0.029,0.045,0.179,0.0,0.054,0.079,0.03,0.0,0.007
Jul 2024–Jun 2025,2024/25,Ice hockey,0.065,0.09,0.042,0.357,0.145,0.026,0.105,0.029,0.046,0.0
Jul 2024–Jun 2025,2024/25,Ice racing/speed skating,0.012,0.015,0.009,0.0,0.044,0.0,0.0,0.046,0.0,0.0
Jul 2024–Jun 2025,2024/25,Ice skating,0.227,0.164,0.289,1.475,0.511,0.151,0.263,0.132,0.104,0.0
Jul 2024–Jun 2025,2024/25,Jet skiing,0.077,0.105,0.045,0.0,0.065,0.119,0.102,0.096,0.079,0.027
Jul 2024–Jun 2025,2024/25,Judo,0.053,0.059,0.047,0.194,0.159,0.041,0.047,0.033,0.034,0.008
Jul 2024–Jun 2025,2024/25,Jujitsu,0.183,0.303,0.068,0.147,0.206,0.383,0.384,0.103,0.016,0.008
Jul 2024–Jun 2025,2024/25,Karate,0.183,0.186,0.173,0.147,0.42,0.086,0.269,0.229,0.184,0.047
Jul 2024–Jun 2025,2024/25,Kendo,0.015,0.026,0.005,0.0,0.022,0.027,0.032,0.017,0.0,0.0
Jul 2024–Jun 2025,2024/25,Kitesurfing/kiteboarding,0.018,0.026,0.01,0.0,0.0,0.0,0.028,0.016,0.077,0.0
Jul 2024–Jun 2025,2024/25,Korfball,0.003,0.0,0.005,0.0,0.0,0.014,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Kung fu wushu,0.009,0.014,0.004,0.0,0.02,0.0,0.015,0.016,0.015,0.0
Jul 2024–Jun 2025,2024/25,Lacrosse,0.034,0.028,0.041,0.373,0.042,0.0,0.015,0.057,0.016,0.0
Jul 2024–Jun 2025,2024/25,Lifesaving royal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Lifesaving surf,0.134,0.231,0.037,0.401,0.224,0.114,0.117,0.144,0.127,0.059
Jul 2024–Jun 2025,2024/25,Luging,0.002,0.0,0.004,0.0,0.0,0.012,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Marching,0.008,0.005,0.011,0.0,0.021,0.0,0.015,0.019,0.0,0.0
Jul 2024–Jun 2025,2024/25,Martial arts,0.565,0.45,0.68,0.661,0.57,0.4,0.306,0.539,0.45,0.99
Jul 2024–Jun 2025,2024/25,Mixed martial arts,0.065,0.087,0.044,0.0,0.202,0.14,0.053,0.06,0.0,0.0
Jul 2024–Jun 2025,2024/25,Modern pentathlon,0.002,0.005,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Motor cycling,1.054,1.539,0.585,1.629,1.26,1.398,1.008,1.097,1.24,0.413
Jul 2024–Jun 2025,2024/25,Motor sport,0.253,0.406,0.105,0.496,0.422,0.402,0.26,0.238,0.18,0.039
Jul 2024–Jun 2025,2024/25,Mountain biking,0.747,1.142,0.362,1.788,0.478,0.671,0.914,1.156,0.934,0.182
Jul 2024–Jun 2025,2024/25,Mountain climbing,0.14,0.159,0.124,0.184,0.187,0.187,0.182,0.182,0.089,0.038
Jul 2024–Jun 2025,2024/25,Muay Thai,0.135,0.152,0.121,0.211,0.399,0.293,0.122,0.048,0.0,0.009
Jul 2024–Jun 2025,2024/25,Netball,2.161,0.641,3.656,8.683,5.588,3.549,1.944,1.058,0.212,0.036
Jul 2024–Jun 2025,2024/25,Obstacle,0.05,0.037,0.062,0.439,0.043,0.046,0.076,0.029,0.0,0.0
Jul 2024–Jun 2025,2024/25,Orienteering,0.062,0.054,0.066,0.208,0.045,0.022,0.029,0.11,0.037,0.081
Jul 2024–Jun 2025,2024/25,Outrigger canoe,0.035,0.049,0.021,0.0,0.0,0.0,0.067,0.065,0.067,0.022
Jul 2024–Jun 2025,2024/25,Oztag,0.286,0.336,0.241,1.44,0.792,0.488,0.228,0.032,0.017,0.008
Jul 2024–Jun 2025,2024/25,Paddle sports,0.225,0.215,0.237,0.0,0.165,0.165,0.298,0.283,0.319,0.191
Jul 2024–Jun 2025,2024/25,Paintball,0.033,0.048,0.019,0.0,0.026,0.065,0.014,0.065,0.049,0.0
Jul 2024–Jun 2025,2024/25,Parkour,0.03,0.028,0.033,0.524,0.021,0.012,0.013,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Petanque,0.006,0.008,0.003,0.0,0.0,0.013,0.0,0.0,0.0,0.015
Jul 2024–Jun 2025,2024/25,Physical Culture,0.041,0.021,0.062,0.0,0.083,0.024,0.054,0.046,0.028,0.04
Jul 2024–Jun 2025,2024/25,Pickleball/padel,1.047,1.074,1.029,0.982,1.042,1.091,1.12,1.051,1.392,0.737
Jul 2024–Jun 2025,2024/25,Pilates,6.447,1.092,11.683,4.213,8.138,10.018,7.616,5.953,5.503,2.995
Jul 2024–Jun 2025,2024/25,Polo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Polocrosse,0.004,0.005,0.004,0.0,0.0,0.0,0.026,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Pony Club,0.041,0.046,0.037,0.199,0.064,0.04,0.025,0.033,0.035,0.018
Jul 2024–Jun 2025,2024/25,Powerlifting,0.053,0.056,0.045,0.0,0.11,0.112,0.07,0.057,0.0,0.0
Jul 2024–Jun 2025,2024/25,Ready Steady Go Kids,0.01,0.011,0.009,0.0,0.021,0.017,0.028,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Rock climbing/Abseiling/Caving,0.468,0.534,0.396,2.285,0.655,0.749,0.499,0.284,0.125,0.072
Jul 2024–Jun 2025,2024/25,Rodeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Rogaining,0.017,0.017,0.017,0.0,0.024,0.009,0.017,0.03,0.026,0.008
Jul 2024–Jun 2025,2024/25,Roller Derby,0.011,0.014,0.005,0.0,0.0,0.013,0.045,0.0,0.011,0.0
Jul 2024–Jun 2025,2024/25,Rope skipping,0.259,0.2,0.316,1.079,0.378,0.284,0.378,0.231,0.126,0.013
Jul 2024–Jun 2025,2024/25,Rowing,0.568,0.701,0.446,0.715,0.27,0.524,0.59,0.796,0.926,0.316
Jul 2024–Jun 2025,2024/25,Rugby league,0.744,1.226,0.284,2.521,1.734,1.409,0.656,0.402,0.098,0.016
Jul 2024–Jun 2025,2024/25,Rugby union,0.36,0.609,0.122,1.362,0.986,0.548,0.283,0.159,0.124,0.017
Jul 2024–Jun 2025,2024/25,Running/jogging,16.283,18.617,14.06,25.23,25.714,27.62,21.224,15.104,8.072,1.932
Jul 2024–Jun 2025,2024/25,Sailing,0.36,0.503,0.221,0.295,0.196,0.162,0.243,0.436,0.689,0.453
Jul 2024–Jun 2025,2024/25,Scootering,0.147,0.12,0.169,0.173,0.123,0.148,0.383,0.177,0.052,0.0
Jul 2024–Jun 2025,2024/25,Scouts,0.028,0.049,0.009,0.474,0.066,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Sepak takraw,0.005,0.005,0.004,0.0,0.045,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Shooting/field,0.196,0.373,0.027,0.339,0.18,0.168,0.238,0.21,0.185,0.162
Jul 2024–Jun 2025,2024/25,Shooting/range,0.138,0.242,0.039,0.0,0.163,0.144,0.202,0.156,0.065,0.133
Jul 2024–Jun 2025,2024/25,Skate,0.412,0.385,0.419,0.88,0.832,0.677,0.529,0.336,0.137,0.008
Jul 2024–Jun 2025,2024/25,Skeleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Ski & snowboard,0.861,1.002,0.735,0.688,0.85,0.943,0.803,1.002,1.344,0.466
Jul 2024–Jun 2025,2024/25,Skirmish,0.003,0.007,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Softball,0.149,0.114,0.185,0.351,0.292,0.151,0.207,0.186,0.081,0.0
Jul 2024–Jun 2025,2024/25,Sport climbing,0.509,0.605,0.406,1.605,1.16,1.188,0.418,0.057,0.106,0.015
Jul 2024–Jun 2025,2024/25,Squash,0.448,0.684,0.219,0.686,0.477,0.674,0.497,0.492,0.389,0.155
Jul 2024–Jun 2025,2024/25,Surfing,1.373,1.713,1.046,2.109,1.197,1.541,1.72,1.734,1.606,0.47
Jul 2024–Jun 2025,2024/25,Swimming,15.306,14.188,16.387,18.642,15.98,16.467,17.767,16.373,16.323,9.815
Jul 2024–Jun 2025,2024/25,Sword fighting,0.011,0.005,0.017,0.0,0.046,0.023,0.0,0.0,0.0,0.008
Jul 2024–Jun 2025,2024/25,Synchronised swimming,0.061,0.066,0.057,0.0,0.148,0.106,0.093,0.054,0.014,0.0
Jul 2024–Jun 2025,2024/25,Table tennis,1.697,2.362,1.071,5.174,3.344,2.051,1.611,1.207,0.965,0.695
Jul 2024–Jun 2025,2024/25,Taekwondo/Taekwon-do,0.117,0.151,0.085,0.73,0.257,0.047,0.131,0.096,0.07,0.008
Jul 2024–Jun 2025,2024/25,Tee ball,0.023,0.042,0.004,0.0,0.068,0.066,0.013,0.01,0.0,0.0
Jul 2024–Jun 2025,2024/25,Tennis,5.145,5.982,4.372,8.928,7.64,6.614,5.601,5.302,3.354,2.469
Jul 2024–Jun 2025,2024/25,Tenpin bowling,0.62,0.693,0.556,0.914,0.735,0.747,0.725,0.536,0.528,0.421
Jul 2024–Jun 2025,2024/25,Tobogganing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024–Jun 2025,2024/25,Touch football,0.741,0.985,0.513,2.105,1.671,1.448,0.568,0.472,0.231,0.025
Jul 2024–Jun 2025,2024/25,Triathlon,0.099,0.133,0.068,0.0,0.113,0.15,0.141,0.166,0.082,0.0
Jul 2024–Jun 2025,2024/25,Underwater sports,0.849,0.874,0.829,0.385,0.555,1.098,1.053,0.945,1.146,0.459
Jul 2024–Jun 2025,2024/25,Virtual based physical activity,0.914,0.962,0.861,3.29,1.97,1.317,0.826,0.67,0.372,0.111
Jul 2024–Jun 2025,2024/25,Volleyball (indoor and outdoor),1.301,1.473,1.14,9.496,3.441,1.631,0.763,0.321,0.154,0.046
Jul 2024–Jun 2025,2024/25,Walking (Recreational),50.146,42.147,57.984,31.456,33.758,41.412,47.608,58.218,64.953,56.774
Jul 2024–Jun 2025,2024/25,Water polo,0.095,0.139,0.054,0.199,0.253,0.115,0.06,0.083,0.063,0.032
Jul 2024–Jun 2025,2024/25,Waterskiing/Wakeboarding,0.187,0.217,0.16,0.0,0.324,0.252,0.177,0.254,0.195,0.054
Jul 2024–Jun 2025,2024/25,Weight lifting,1.456,1.634,1.261,1.42,2.031,2.358,1.623,1.236,1.181,0.589
Jul 2024–Jun 2025,2024/25,Wheelchair rugby,0.009,0.005,0.013,0.0,0.022,0.025,0.0,0.0,0.014,0.0
Jul 2024–Jun 2025,2024/25,Wood chopping,0.036,0.067,0.006,0.0,0.02,0.0,0.061,0.02,0.065,0.054
Jul 2024–Jun 2025,2024/25,Wrestling,0.054,0.092,0.013,0.147,0.11,0.11,0.041,0.059,0.0,0.0
Jul 2024–Jun 2025,2024/25,Yoga,4.976,1.424,8.432,3.124,3.343,6.43,6.408,6.011,5.084,2.997
Jan–Dec 2025,2025,Adventure racing,0.072,0.086,0.051,0.0,0.19,0.13,0.098,0.065,0.0,0.007
Jan–Dec 2025,2025,Air sports,0.224,0.313,0.14,0.352,0.506,0.39,0.216,0.122,0.117,0.056
Jan–Dec 2025,2025,Archery,0.179,0.243,0.119,0.283,0.161,0.293,0.276,0.192,0.108,0.029
Jan–Dec 2025,2025,"Athletics, track and field",1.318,1.739,0.921,5.753,2.925,2.133,1.076,0.598,0.316,0.198
Jan–Dec 2025,2025,Australian football,2.417,3.807,1.084,6.035,6.006,4.751,2.073,1.381,0.447,0.075
Jan–Dec 2025,2025,Badminton,1.886,2.227,1.559,9.07,4.186,2.968,1.727,0.815,0.307,0.149
Jan–Dec 2025,2025,Baseball,0.309,0.467,0.159,0.715,0.545,0.474,0.396,0.367,0.055,0.015
Jan–Dec 2025,2025,Basketball,4.526,6.836,2.303,17.279,11.687,6.163,4.837,2.617,0.784,0.21
